name,description
Human Resource Management Online,"An educational database that maps learning items to the modern human resource management syllabus. It includes a mix of selected primary source documents (book chapters, case studies, videos, documents, and executive-oriented research reports.) on compensation and benefits, employee rights and relations, equal opportunity, job analysis, organizational planning, organizational review, and more.<br />  <br />  Availability: Full-text and videos<br />  Date Coverage: Varies<br />  <br />  An educational database that brings together a mix of the top applied content for HR academic programs.<br />  The database maps 4,000 learning items to the modern human resource management syllabus. It includes a mix of selected primary source documents, including corporate training videos, instructional films, case studies, textbooks, textbook chapters, research reports, sample business documents, and self-assessments. Materials are from well-known names in human resource management and business education, including the Society of Human Resource Management, The Kellogg School of Management, and Seven Dimensions. Subjects covered include: compensation and benefits, employee rights and relations, equal opportunity, ethical, legal and social considerations, job analysis and design, organizational planning and strategy, organizational review, recruitment, selection, and placement, training and development, and much more. Majority of works are published in 2009 or later."
IBES (WRDS),
IEEE Xplore Digital Library,"Provides full text access to IEEE and IET journals, magazines, transactions, conference papers, and active standards.<br />  <br />  Availability: Full-text<br />  Date Coverage: 1872 to present"
"Illustrated London News Historical Archive, The (1842-2003)","An online archive of the world's first illustrated newspaper. The database contains the entire run of The Illustrated London News Historical Archive from its first issue of 1842 to its last one in 2003. It is a fully searchable and browseable database that provides access to 250,000 pages and as many as three-quarters of a million illustrations. This publication presents a picture of British and world events including news of war, disaster, ceremonies, the arts and science.<br />  Coverage; 1842-2003"
InCites Benchmarking & Analytics,"InCites Benchmarking & Analytics is a flexible research evaluation tool that helps you easily analyze trusted data to make confident decisions about your research programs and strategies.<br />  InCites B&A allows you to analyze institutional productivity, monitor collaboration activity, identify influential researchers, showcase strengths, and discover areas of opportunity."
Index Islamicus,"Published by Brill, this bibliographic database indexes publications on Islam, the Middle East and the Muslim world, including history, beliefs, societies, cultures, languages and literatures. It Indexes journal articles, book materials, conference proceedings and book reviews. <br />  <br />  Availability: Bibliographic citations<br />  Date Coverage: 1906- present"
Index Medicus for WHO Eastern Mediterranean (IMEMR),"Indexes WHO reports and peer-reviewed health and biomedical journals from the Eastern Mediterranean, including bibliographic citations from more than 520 health and biomedical journals published in 20 countries of the Region<br />  <br />  Availability: Full-text and bibliographic citations<br />  Date Coverage: Current"
INFORMS PubsOnLine,"A collection of seventeen scholarly journals published by the Institute for Operations Research and the Management Sciences (INFORMS).<br />  <br />  All Journals are peer reviewed and available from volume one, issue one to present.   <br />  <br />  Availability: Full-text<br />  Date Coverage: ----"
InfoSci-Cases,"InfoSci-Cases (formerly IGI Teaching Case Collection) is a premier classroom solution, providing professors, students, and libraries access to over 2,100 teaching cases based on real-life situations, issues, challenges, and opportunities in one fully searchable database. It covers a wide range of subjects from business and environment technologies to medical and social technologies.<br />  <br />  Availability: Full-text<br />  Date coverage: ----"
InfoSci-Journals,"This database covers over 25,000 peer-reviewed full-text journal articles, covering business and management, computer science and information technology, education, environmental, agricultural and physical sciences, and more. <br />  <br />  Availability: Full-text<br />  Date coverage: 1988 - present"
Interactive Encyclopedia of the Palestine Question,"Events, biographies, highlights, places and primary documents, in the first interactive platform entirely devoted to the Palestine Question."
International Bibliography of Art (IBA),"A bibliographic database for scholarly literature on Western art, IBA is the successor to the Bibliography of the History of Art (BHA). It indexes core journals, monographs, essay collections, conference proceedings and exhibition catalogues. Part of the indexed content is in languages other than English (primarily German, French, Italian and Spanish).<br />  <br />  Availability: Bibliographic citations <br />  Date Coverage: ----"
International Business Online,"International Business Online maps 4,000 learning items to the modern international business syllabus.<br />  It includes textbooks, book chapters, case studies from well-known case providers like the Kellogg School of Management, corporate training videos, sample business documents and research reports. Primary partners are Aperian Global and Atma Global. Subjects covered include: assessing and analyzing foreign markets, economic and socioeconomic forces, ethics, sustainability, and social responsibility, foreign direct investment and international trade theories, global human resource management, global marketing, global strategy and management, international finance and accounting, international monetary system, political and legal forces. 80% of works are published in 2009 or later.<br />  <br />  Availability: Full-text and videos<br />  Coverage: Varies<br />  Features: Direct link to RefWorks (Citation Management Software)"
International Encyclopedia of Education,"A comprehensive full-text reference work covering the recent changes in education as a result of legislative reforms, technological changes, altering societal demands, changing expectations, and varying economic conditions in different countries. <br />  <br />  Availability: Full-text<br />  Date Coverage: 2010"
International Encyclopedia of Media Studies,"A comprehensive reference work exploring social and political movements as well as related topics. The encyclopedia covers a broad range of historical and modern topics from the French revolution, to the global women’s movement, to Martin Luther King Jr. and the American civil rights movement, through to more recent issues such as environmentalism and the Arab Spring. <br />  <br />  Availability: Full-text<br />  Date Coverage: 2013"
International Encyclopedia of the Social & Behavioral Sciences,"The encyclopedia covers all aspects of social and behavioral disciplines.<br />  <br />  Available via the Science Direct platform, the encyclopedia contains 4000 articles, 150 biographies and 90,000 bibliographic references. <br />  <br />  Availability: Full-text<br />  Date Coverage: 2001"
International Herald Tribune Historical Archive (1887-2013),"A digital archive of the daily newspaper, International Herald Tribune. <br />  Provides full-text access from its first issue till 2013. It includes articles, advertisements, and market listings and covers the history of the 20th century.<br />  <br />  Availability: Full-text<br />  Date Coverage: 1887-2013"
IOPscience Journals,"Online service and index for journal content published by the Institute of Physics. Contains more than 250,000 articles, from 1874 to the present day. Includes links to related articles, references and citations; latest and most popular article listings; and news delivered from IOP's community websites. <br />  <br />  Availability: Full-text<br />  Date Coverage: All from v.1"
IOS Press,"IOS Press publishes journals in a broad range of scientific, technical and medical (STM) subject areas. The database covers the subjects: Medicine, computer science, information technology, artificial intelligence, internal medicine, biochemistry & biophysics, rehabilitation & assistive technology, microbiology and virology, exercise & occupational therapy, and business and management.<br />  <br />  Availability: Full-text<br />  Date Coverage: ----"
Iranian Strategic Studies E-Books,
Iranian Strategic Studies Journals,
"Iraq 1914-1974: The Middle East Online, Series 2","The series offers a collection of primary sources from the Foreign Office, Colonial Office, War Office and Cabinet Papers from the Anglo-Indian landing in Basra in 1914 through the British Mandate in Iraq of 1920-32 to the rise of Saddam Hussein in 1974. Subjects covered range from the siege of Kut-al-Amara and installation of King Faisal in 1921 to The USSR-Iraq Treaty of Friendship in 1972. <br />  <br />  Availability: Full-text<br />  Date Coverage: 1914-1974"
Iraqi Academic Scientific Journals,Provided by the Ministry of Higher Education & Scientific Research of Iraq. Iraqi Academic Scientific Journals (IASJ) is a one platform where all scholarly journals published by the Iraqi universities and research institutions are indexed and discovered. All journals are peer-reviewed and open access.<br />  <br />  Availability: Full text<br />  Date Coverage: ----
"Islam in the Modern World, 1804-1918","Electronic books featuring 150 titles from 1804 through 1918 profiling the beliefs, practices, theology, spirituality, and history of Islam. Content includes biographies of the prophet Muhammad, works comparing Christianity and Islam, key theological and philosophical texts (including the Quran), relevant mystical and spiritual works, and texts surveying the history of Islam. <br />  <br />  Availability: Full-text<br />  Date Coverage: 1804-1918"
JAMA Network,"JAMA Network brings Journal of American Medical Association together with the following nine specialty Archives Journals.<br />  Dermatology, Facial Plastic Surgery, General Psychiatry, Internal Medicine, Neurology, Ophthalmology, Otolaryngology, Pediatrics & Adolescent Medicine,   Surgery, and Neurology & Psychiatry (1919-1959). Multimedia features include video, audio, CME quizzes, and more.<br />  Availability: Full-text<br />  Date Coverage: All from v.1"
JAMAevidence,It includes fundamental tools for understanding and applying the medical literature and making clinical diagnoses. Jamaevidence comprises among other things:  Three Textbooks:  Users' Guides to the Medical Literature: A Manual for Evidence-Based Clinical Practice.  The Rational Clinical Examination: Evidence-Based Clinical Diagnosis.  Care at the Close of Life: Evidence and Experience  Education Guides: collection of Power Point lectures and presentations.  Glossary: over 500 Evidence Based Medicine terms.  Worksheets or textual instructions.  Podcasts of key Evidence Based Medicine concepts and many other fields.
JCO Digital Library,"Covers the following journals:<br />  JCO Clinical Cancer Informatics, JCO Global Oncology, JCO Oncology Practice, JCO Precision Oncology, and Journal of Clinical Oncology"
"Jerusalem Post, The (1932-2008)","Jerusalem Post is a historical Jewish newspaper covering politics, society, and many other events of the time. The Jerusalem Post was established in 1932<br />  as The Palestine Post. In 1952, the paper was renamed The Jerusalem Post.  It includes news articles, photos, advertisements, classified ads, obituaries, cartoons, and more<br />  <br />  Availability: Full-text<br />  Date Coverage: 1932-2008"
"Jewish Advocate, The (1905-1990)","historical newspaper providing easily-searchable first-hand accounts and unparalleled coverage of the politics, society and events of the time.<br />  Coverage: 1905 - 1990"
"Jewish Exponent, The (1887-1990)","A historical Jewish newspaper, founded by a group of 43 prominent Philadelphians. This newspaper provides genealogists, researchers and scholars with online, easily-searchable first-hand accounts and unparalleled coverage of the politics, society and events of the time.<br />  <br />  Availability: Full text<br />  Date Coverage: 1887-1990"
Journal Citation Reports,A journal evaluation tool powered by ISI Web of Knowledge. It helps in identifying the most frequently cited journals. <br />  Users are prompted to add exception to access the database.<br />  <br />  Availability: Ranking tables<br />  Date Coverage:1997 to present
JSTOR,"JSTOR, a digital library for scholars, researchers and students, provides access to more than 12 million academic journal articles, books, and primary sources in 75 disciplines including business, economics, humanities, medicine, mathematics, science, and social sciences. Library's subscription includes the following collections: Arts & Sciences, Business, Global Plants and Life Sciences.<br />  <br />  Availability: Full-text<br />  Date Coverage: 1665 to present"
Kanopy,"Kanopy provides videos (films, documentaries, and more) on various subjects such as art, business, education, psychology, history, medicine..."
Kitāb Futūḥ al-buldān (Arabic text) = كتاب فتوح البلدان,"Originally titled Liber expugnationis regionum (Leiden, 1866), this book offers an account of the early conquests of the Islamic polity. It has the form of a geographical survey of the Caliphate’s territories, describing how each location came under Muslim rule. <br />  <br />  Availability: Full text<br />  Date Coverage: 1866"
Knovel,"A digital collection of engineering books selected from more than 30 leading publishers and professional associations. It contains hundreds of full text of reference works and handbooks as well as interactive tables, graphs and equations. Subjects covered include: chemical engineering, civil engineering, oil and gas engineering, environmental engineering and much more. <br />  <br />  Availability: Full-text<br />  Date Coverage: Varies"
Kotobarabia Arabic eLibrary,": A collection of electronic books in Arabic. The collection ranges from contemporary novels to national heritage scientific treatises, with titles written by Arab authors of all genres including fiction, non-fiction, popular and scholarly. The database covers the following subjects and more:  fine arts, language, literature, medicine, philosophy, political sciences, religion, and social sciences. Availability: Full-text. Date Coverage: Varies."
Kotobarabia Modern Arab Renaissance Collection,"A collection of electronic books published from 1820 to 1914. The collection provides insight into the development of Egypt and the Arab world during the period of industrialization, modernization, the end of Ottoman Empire and relations with the west. It includes more than 3000 titles in humanities and sciences, including philosophy, literature, arts, history, and politics, featuring writings from M. Abdo and G. El-Afghani. Availability: Full Text. Date Coverage: 1820 to 1914. "
"Kotobarabia: Arab Leaders, Historians and Philosophers","A collection of contemporary and classic Arabic writings. The collection comprises around 5,000 titles of early works from around 1,000 Arab thinkers, philosophers, historians, politicians, and theologians. Topics cover feminism, social theory, literature, history, Arab culture, religion, philosophy, and political thoughts. Features works by the Four Imams of the Sunni Sect, the Al Azhar Modern Sheikhs, various authors of the Modern Arab Enlightenment, and rare works by the former Egyptian royal family. Availability: Full Text. "
L’Orient Today,"L'Orient Today is the English edition of L’Orient Le Jour newspaper. It supplies political, social, and economical news about Lebanon, the region and worldwide.<br />  Availability: Full-Text<br />  Date Coverage: 2021 - Present"
L’Orient-Le Jour,"A Lebanese French-language daily newspaper. Founded in 1971, the newspaper covers politics, local and international news, finance, economics, culture, entertainment, and sports. It includes L'Orient Litteraire, the cultural supplement of L'Orient le Jour which covers all the news of books and literature in Lebanon and worldwide. The supplement is issued every first Thursday of the month.   <br />  Availability: Full-Text<br />  Date Coverage: 1997 - Present"
Le Commerce du Levant,"Le Commerce du Levant is still the only French-speaking economic periodical in Lebanon and the Middle East, along now with an English version. It offers essential economic and financial news, as well as news business opportunities in Lebanon and the region.<br />  <br />  Coverage : Vol. 1 - Present"
Le Monde (English),"The English version of Le Monde, France's leading newspaper, was launched in April 2022. This is not a full translation of the French version.<br />  Coverage: 2024-"
Le Monde (French),"Le Monde, published in Paris, is a French general news media that reports on in depth international, national, economic and cultural news.<br />  Coverage: 2024-"
Le Monde Diplomatique (English) ,"Le Monde Diplomatique is based in Paris under the umbrella of the French daily newspaper Le Monde. It soon acquired an international and independent reputation for its incisive monthly articles offering critical vision, in-depth analysis, and reportages. <br />  <br />  Coverage: 1958 - Present"
Lebanese Newspapers Digital Archive,
Lebanon News and Reports Index,"Database of articles and reports citations covering current conditions in Lebanon, and to a lesser extent the Middle East. Indexed materials are drawn from local journals and newspapers, and from public sector and international organizations websites. Indexing is selective and mostly concerned with major political events, hot social and economic issues, statistical data, and primary sources. <br />  <br />  Availability: Bibliographic citations<br />  Date Coverage: 1947- <br />  <br />  <br />  You can search the index to find citations of articles and reports published in English, French and Arabic.<br />  Subject Indexing is done in English. Title, name and place are searchable in Arabic as well<br />  <br />  Indexing is selective and mostly concerned with major political events, hot social and economic issues, statistical data, and primary sources. The date coverage of the database is basically current, yet some publications indexing dates back to 1947.<br />  <br />  Articles from journals and newspapers could be retrieved in the Library collections. Use the library catalog, LIBCAT, to locate the journals and newspapers of the selected articles. Materials from websites are found on the internet or in the Vertical File at the Reference Department.<br />  <br />  The database is a pilot project created and updated by the Reference Department at Jafet Library. Software functioning and technical maintenance are handled by the Information Technology and Digital Libraries Department at itdl@aub.edu.lb. For questions or comments please contact us by email at jftref@aub.edu.lb or call ext. 2620/21. <br />  <br />  Coverage:1947 to present"
"Library, Information Science & Technology Abstracts (LISTA)","A bibliographic database for users interested in library science and information management.<br />  It indexes more than 580 core journals, plus books, research reports and proceedings. Subject coverage includes librarianship, classification, cataloging, bibliometrics, online information retrieval, information management and much more.<br />  <br />  Availability: Bibliographic citations<br />  Date Coverage: Varies"
Linguistic Data Consortium,"The Linguistic Data Consortium supports language-related education, research and technology development by creating and sharing linguistic resources, such as data, tools, and standards.<br />  The library has access to the ACE2005 Multilingual Training Corpus. Users need to create an account. Datasets downloaded will be available in the download list in the left sidebar. <br />   <br />  "
Literature Online (LION),"A comprehensive reference resource for American and English literature. The database brings primary works, reference materials, and literary criticism together. Contains over 350,000 literary texts together with full-text journals, author biographies and other critical and reference resources.<br />  <br />  Availability: Full-text and bibliographic citations<br />  Date Coverage: ----"
Loeb Classical Library,"Interconnected, fully searchable, perpetually growing, virtual library of all that is important in Greek and Latin literature. Epic and lyric poetry; tragedy and comedy; history, travel, philosophy, and oratory.<br />  Coverage:<br />  More than 520 volumes of Latin, Greek, and English texts are available in a modern and elegant interface, allowing readers to browse, search, bookmark, annotate, and share content with ease."
London Review of Books,"A literary intellectual magazine in the English language.<br />  <br />  Publishes 24 issues per year. Each issue contains up to 15 reviews, literary criticism, and essays written by academics, writers, and journalists, as well as shorter art and film reviews.<br />  <br />  Availability: Full-text<br />  Date Coverage: 1979 to present"
LWW Health Library  - Advanced Practice Nursing,"A textbook-multimedia package that supports both the practice and specialty-based areas of the curriculum for nurses and also medicine. The collection is a combination of core textbooks, case studies, self- assessment Q&A banks, and audio clips from the Bates’ Visual Guide to Physical Examination and History-Taking textbook. <br />  Availability: Full-text and video<br />  Date Coverage: Varies"
MathSciNet: Mathematical Reviews,"Covers international literature in mathematics and mathematically related research in computer science, statistics, economics, etc.<br />  Produced by the American Mathematical Society, it provides full bibliographic information for reviews of journal articles, plus books, conference proceedings and papers.<br />  <br />  Availability: Bibliographic citations<br />  Full text of all reviews from Mathematical Reviews from 1940-<br />  Date Coverage: 1940 to present"
Medical Letter,"A peer reviewed publication on drug information and drug facts since 1959.<br />  The database is searchable and drugs may be browsed by disease, or by generic/brand names.<br />  <br />  Availability: Full-text<br />  Date Coverage: 1988 to present"
Medici.tv EDU,"A primary resource for classical music videos, Medici.tv features over 1,800 programs (3,000 original works) including concerts, ballets, operas, documentaries, artists portraits or interviews, educational programs, and master classes by leading musicians.  <br />  Availability: Videos<br />  Coverage Date: 2008 – present"
MEDLINE (Ovid),"A bibliographic database produced by the US National Library of Medicine.<br />  It indexes a large number of international biomedical journals covering the fields of medicine, nursing, dentistry, veterinary, preclinical sciences, and allied health sciences.<br />  <br />  Availability: Bibliographic citations<br />  Date Coverage: 1946 to present"
MEDLINE (Web of Knowledge),"Major bibliographic database for the biomedical literature, containing references to articles taken from more than 4600 international journals.<br />  An electronic version of Index Medicus published by the National Library of Medicine (Bethesda, USA), plus citations taken from the International Nursing Index and the Index to Dental Literature.<br />  <br />  Availability: Bibliographic citations<br />  Date Coverage: 1950 to present"
MEDLINE Complete,"MEDLINE Complete is the world's most comprehensive source of full text for medical journals, providing full text for over 1,800 journals indexed in MEDLINE. Of those, more than 1,700 have cover-to-cover indexing in MEDLINE, and of those, over 900 are not found with full text in any version of Academic Search, Health Source or Biomedical Reference Collection. <br />  <br />  Availability: Full-text<br />  Date Coverage: 1857 to current"
Mental Measurements Yearbook,"Contains full-text information about all English-language standardized tests covering educational skills, personality, vocational aptitude, etc.<br />  Information provided includes the name of the test author and publisher as well as scoring information and the volume of the print yearbook in which the test was first included.<br />  <br />  Availability: Test reviews<br />  Date Coverage: v.6 to present"
Micromedex (1 user for Neofax database; 5 simultaneous users for all other databases),"A collection of clinical databases of evidence-based referenced information about drugs, diseases, acute care, alternative medicine, etc.<br />  Micromedex includes the following databases:<br />  Complete Drug Interactions<br />  DRUGDEX<br />  Complete IV Compatability<br />  Neofax <br />  <br />  Availability: Full text<br />  Coverage: Current<br />  Limitation: 1 user for Neofax database; 5 simultaneous users for all other databases"
"Middle East and North Africa: Global Perspectives, 1958-1994 enquiry",
Middle East Newsstream,"A database of Middle East newspapers published in the Middle East & about the Middle East. It includes around 30 full-text English and foreign language publications focusing on all aspects of Middle East news including current events, economics, politics, business, culture, sports and much more. Sample titles are:  Aljazeera.net, The Daily Star (Beirut), Gulf Daily News and Palestine Chronicle.<br />  <br />  Availability: Full-text<br />  Date Coverage: 1980 to present"
Middle Eastern and Central Asian Studies (MECAS),"A bibliographic index of materials (journal articles, dissertations, books, etc…) relating to the Middle East, Central Asia and North Africa. It contains more than 400,000 records, from reputable centers such as the School of Oriental and African Studies. Subject Coverage: Political and economic affairs, cultural heritage, art and humanities, sociology, religion, anthropology, and archaeology.<br />  Availability: Bibliographic citations<br />  Date Coverage: 1946 to present"
Middle Eastern Manuscripts Online 1: Pioneer Orientalists,"Rare Arabic manuscripts of Joseph Justus Scaliger, Franciscus Raphelengius, and Jacobus Golius, from the Leiden University Library. The Golius collection is particularly famous for its manuscripts on Islamic science.<br />  The publication consists of 267 Arabic manuscripts in 303 volumes, with 109.517 pages, in full-color, high-definition images. <br />   <br />  Availability: Full-text<br />  Date Coverage: Varies"
Middle Eastern Manuscripts Online 2: The Ottoman Legacy of Levinus Warner Information,"140 volumes from the Warner Collection, totaling 45,809 pages of Ottoman Turkish, Arabic, and Persian texts. Manuscripts were acquired by the great scholar Levinus Warner during his stay in Istanbul from 1644 until his death in 1665. The collection includes one autograph, 10 unique manuscripts, and 11 manuscripts with unique parts. It also includes several of Warner's diaries with research notes in various languages.<br />  Availability: Full-text<br />  Date Coverage: Varies"
Middle Eastern Manuscripts Online 3: Arabic Manuscripts from the Hungarian Academy,200 manuscripts with just over 300 works. It includes (Arab O. 013) a dated copy of a unique arrangement of a rare treatise written by al-Ṣāḥib Tāǧ al-Dīn (d. 707/1307) produced in the year of the author’s death; two rare Mamluk treatises on horsemanship (Arab F.2); and an anonymous compilation (Arab O. 027) about the lives of the outstanding men who lived in Medina in the 12th/18th century.<br />  Availability: Full-text<br />  Date Coverage: Varies<br />  <br />  Arabic manuscripts holdings of the Oriental Collection in the Library of the Hungarian Academy of Sciences in Budapest.
Middle Eastern Manuscripts Online 4: The Shangoda Collections from Dagestan,
MLA Directory of Periodicals,
MLA International Bibliography with Full Text,"Bibliographic information for critical scholarly materials in literature, criticism, drama, language, linguistics, humanities, and folklore.<br />  Coverage is worldwide and includes articles chosen from over 3,500 journals, series, monographs, dissertations, bibliographies, proceedings, and other materials.<br />  <br />  Availability: Bibliographic citations and Full-text via Literature Resource Center<br />  Date Coverage: 1926 to present"
Morgan & Claypool Synthesis eBooks Library Collection,"This IEEE e-book collection provides online access to more than 600 titles in fields such as computer science, artificial intelligence, information theory, computer programming, information technology and electrical engineering.<br />  Availability: Full-text<br />  Coverage: Varies"
"MSCI’s Corporate Governance Historical Dataset (WRDS)-(first time user, click on the “register” tab)","MSCI ESG Ratings and MSCI Indexes represent the performance of the most common ESG investment approaches by including, re-weighting or excluding companies leveraging ESG criteria. Data covers security selection and portfolio construction processes, stress testing, and risk and performance attribution analysis. <br />  availability: Data Sets<br />  Date Coverage: 1991-present"
Mukhtaṣar Kitāb al-Buldān = مختصر كتاب البلدان,"The original work of Ibn al-Faqīh’s ""Kitāb al-buldan"" is lost, but the abridged version has survived in a handful of manuscripts. Only three manuscripts were known during De Goeje’s life and he used them all for his edition, which was originally published in 1885. This edition offers geographical and historical details not found in other sources.  <br />  <br />  Availability: Full-text<br />  Date Coverage: 1885"
Multidisciplinary Digital Publishing Institute (MDPI),
Multimedia Fluid Mechanics Online,"Streaming video of award-winning fluid mechanic visualizations by G. M. Homsy et al. Topics cover Kinematics, Dynamics, Interfacial Phenomena, Similarity and Scaling, Boundary Layers, Turbulence and Control Volumes. Includes interactive animations and virtual labs."
Muslims in Russia,"A collection of primary sources on Russia Muslim population and their history between 1861 and 1918. Materials published in Russia reflect the picturesque palette of life of Muslims in the Russian Empire. It presents a collection of 11 Russian language periodicals written by and about Muslims. In addition to articles, it contains translations and annotations of Muslim books, magazines, and newspapers.<br />  <br />  Availability: Full-text<br />  Date Coverage: Varies"
"Nation, The","The Nation is America's oldest weekly magazine and the country's preeminent political journal. The Nation is produced with the highest journalistic standards, speaking with an authority that reflects the editorial vetting, fact-checking and deliberative characteristics. <br />  <br />  Coverage: December 2015 - Present"
Nature Journal,
Nature Publishing Group Journals,"International journals publishing peer-reviewed research in all fields of science and technology. These journals publish not only primary research but also reviews, critical comment, news and analysis. The collection includes Nature, Nature Biotechnology, Nature Cell Biology, Nature Chemistry, Nature Communications, etc.<br />  <br />  Availability: Full-text<br />  Date Coverage:  All from v.1"
New England Journal of Medicine,"A leading medical journal published by Massachusetts Medical Society. NEJM delivers high-quality, peer-reviewed research and interactive clinical content for physicians, educators, researchers, and the global medical community.<br />  <br />  Availability: Full-text<br />  Date Coverage: 1990 to present"
New England Journal of Medicine AI,Coverage: 2024-
New Palgrave Dictionary of Economics,"A scholarly reference works on economics published by Palgrave Macmillon. Written by leading figures in the field. In addition to classic and foundational articles, the dictionary includes entries on topical issues including gender and economics, recent economic crises in the European Union and beyond, health economics and the economics of the Internet.<br />  <br />  Availability: Full-text<br />  Date Coverage: 2018"
New Pauly Online,"Published by BRILL., this encyclopedia covers more than 2,000 years of history of Greco-Roman antiquity and classical tradition, ranging from the second millennium BC to early medieval Europe. Special emphasis is given to the interaction between Greco-Roman culture on the one hand, and Semitic, Celtic, Germanic, and Slavonic culture, and ancient Judaism, Christianity, and Islam on the other hand.<br />  <br />  Availability: Full-text"
"New Republic, The","The New Republic is an American magazine that features thought-provoking unbiased coverage of news, politics, culture, and arts etc.<br />  <br />  Coverage: October 2016 - Present"
New York Review of Books,"A bimonthly literary intellectual magazine in the English language.<br />  <br />  Publishes 20 issues per year. Each issue contains essays and reviews of books and the arts, including music, theatre, dance, and film. This online edition of the New York Review of Books provides full text access to reviews dating back to 1963.<br />  <br />  Availability: Full-text<br />  Date Coverage: 1963 to present"
"New York Times with Index, The (1851-2020)",The Historical New York Times (1851-2009) with Index (1851-1993) offers full-page-images and article images dating back to 1851.<br />  <br />  The full page image allows users to view the information in context as originally published.<br />  <br />  Availability: Full-text<br />  Date Coverage: 1851-2020<br />  Note: Use LexisNexis database for issues published after 2009
"New York Times, The (first-time users should click on &quot;more&quot; to create an account)","A daily newspaper published in New York City. The newspaper covers local and international news on politics, business, health, science, sports and much more. The New York Times Digital Edition provides full-text access to content from NYTimes.com with limited access from 1923 to 1980. <br />  Use New York Times with Index, The (Historical) database for issues published before 2012.<br />  Availability: Full-text<br />  Date Coverage: 2006 to present"
"New Yorker, The","The New Yorker is an American national weekly magazine that offers a signature mix of reporting and commentary on politics, foreign affairs, business, technology, popular culture and the arts, fiction, poetry and cartoons, along with groundbreaking reporting, authoritative analysis, and creative inspiration.<br />  <br />  Coverage: October 2015 - Present"
"Newspapers and Magazines, Historical","Access the archives of 20 newspapers and magazines, some go back to the 1700s and 1800s."
Newsweek,"Newsweek publishes news and commentaries on developments in the United States and the world, it covers national and international affairs, science, sports, religion, business, medicine and the arts.<br />  <br />  Coverage: February 2014 - Present"
Newswires,"Near real-time access to news from Associated Press, United Press International, PR Newswire, Xinhua, CNN Wire, and Business Wire. Users can immediately access the full text of the web content. The index to the full text content in EBSCO Newswires is held for a rolling 30-day archive by EBSCO, so users can enjoy the previous 30 days of news relating to their search interests.  <br />  <br />  Availability: Full-text<br />  Date Coverage: 2013 to present"
Nexis Uni,"Lexis-Nexis Academic provides full-text and citation access to information in news, business, medical, and legal disciplines. The service covers newspapers, magazines, wire services, and SEC filings such as 10-K's and 10-Q's. Research areas cover top news topics; foreign language news sources; company and industry news; medical and health topics; accounting, auditing, and tax information.<br />  <br />  Availability: Full-text<br />  Coverage: 1975 to present<br />  <br />  The vast majority of the titles on LEXIS-NEXIS Academic (Lexis-Nexis) are available in full text, with a limited number available in abstract form.<br />  <br />  Research areas in LEXIS-NEXIS Academic (Lexis-Nexis) cover top news, general news topics, and news transcripts; foreign language news sources; company, industry, and market news; legal news; company financial information; general medical and health topics and medical abstracts; accounting, auditing, and tax information.<br />  <br />  Availability: Full-text<br />  Coverage: 1975 to present"
NRP e-books collection,Neonatal Resuscitation (NRP®) Book Collections
Nursing+,"A bibliographic database of recent journal article citations from the health care literature, with access to pre-appraised evidence and is intended to support evidence-based clinical decision making, by providing links to published research reports about the diagnosis, treatment, prediction and prognosis, etiology, and economics in nursing.  Free registration is required.<br />  <br />  Availability: Bibliographic citations<br />  Date Coverage: Current"
Nutrition and Food Science Collection,
Nutrition Care Manual (2 simultaneous users),"Published by the Academy of Nutrition and Dietetics, the Nutrition Care Manual provides evidence- and research-based nutrition information and clinical tools for dietitians, dietetic technicians, and other health care professionals.<br />  <br />  Availability: Full-text<br />  Date Coverage: Current"
O'Reilly Safari Books Online ,"A digital library of over 40,000 technical books, videos, interactive tutorials, case studies, learning paths, and audiobooks from several leading publishers and learning providers. Topics include business and management, science, engineering, data, software, etc.<br />  <br />  Availability: Full-text<br />  Date Coverage: Varies"
"Observer, The (1791-2003)",Digital edition of the The Observer newspaper from 1791 to 2003. The newspaper offers full page and article images with searchable full text back to the first issue.<br />  <br />  Availability: Full text<br />  Date Coverage: 1791-2003
Official Gazette = الجريدة الرسمية,"An official publication issued weekly by the Lebanese Presidency of the Council of Ministers. Users can search and browse legislation, official announcements, judicial rulings, judicial announcements, announcements from the Real Estate Registry Office, announcements from the Commercial Registry Office, intellectual and literary property protection, as well as, private announcements. Coverage goes back to 1922.<br />  Limitation: Accessible only at the Reference Desk - Jafet Library. <br />  You may contact them for assistance by e-mail: jftref@aub.edu.lb or by phone ext. 2620/1."
Official methods of analysis of AOAC International,"The AOAC has set the standard for analytical methods critical to processing, trading, utilizing, and evaluating fats, oils, and lipid products. The official methods and recommended practices of the AOAC contains methodology required for proficiency testing in the Laboratory Proficiency Program (LPP), as well as AOAC Laboratory Certification.<br />  <br />  "
OMMBID,"Scriver's OMMBID from McGraw-Hill Medical is an essential online resource (books, multimedia) delivering comprehensive coverage of the genes and genetic mechanisms underlying human disease states. It is an indispensable digital reference tool that provides geneticists, researchers, students, clinicians, and fellows with cutting edge information spanning the entire field of genetics."
OnePetro (Society of Petroleum Engineers: SPE),"An online library of technical literature for the oil and gas exploration and production industry. Users are prompted to add exception to access the database. Published by the Society of Petroleum Engineers. Indexes articles, technical documents and conference papers. Partner publishers are 18 and include American Petroleum Institute (API), and American Society of Safety Engineers (ASSE).<br />  <br />  Availability: Full-text<br />  Date Coverage: All from v.1"
